loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.2895),-197.17343948439924,-9.858671974219963,0,94.24300336837769,False,,,1,76ff994af1624baf93e80dc45d0d2673,2020-08-17_21-51-39,1597701099,94.24300336837769,64389,cpus,10.142.0.3,94.24300336837769,0,1,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.6558),-175.93819665396128,-18.655581806918025,1,93.15698194503784,False,,,2,76ff994af1624baf93e80dc45d0d2673,2020-08-17_21-53-12,1597701192,187.39998531341553,64389,cpus,10.142.0.3,187.39998531341553,0,2,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4733),-100.17026005946686,-23.664094809891367,2,101.78779864311218,False,,,3,76ff994af1624baf93e80dc45d0d2673,2020-08-17_21-54-54,1597701294,289.1877839565277,64389,cpus,10.142.0.3,289.1877839565277,0,3,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4186),-85.22719914523434,-27.92545476715308,3,94.59970021247864,False,,,4,76ff994af1624baf93e80dc45d0d2673,2020-08-17_21-56-29,1597701389,383.78748416900635,64389,cpus,10.142.0.3,383.78748416900635,0,4,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3719),-78.41661210820908,-31.846285372563536,4,96.01806545257568,False,,,5,76ff994af1624baf93e80dc45d0d2673,2020-08-17_21-58-05,1597701485,479.80554962158203,64389,cpus,10.142.0.3,479.80554962158203,0,5,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3340),-97.49615489869498,-36.721093117498285,5,96.66482520103455,False,,,6,76ff994af1624baf93e80dc45d0d2673,2020-08-17_21-59-42,1597701582,576.4703748226166,64389,cpus,10.142.0.3,576.4703748226166,0,6,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3030),-91.49042214614693,-41.295614224805625,6,94.6899802684784,False,,,7,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-01-16,1597701676,671.160355091095,64389,cpus,10.142.0.3,671.160355091095,0,7,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1938),-68.52592132360618,-44.72191029098594,7,91.86166143417358,False,,,8,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-02-48,1597701768,763.0220165252686,64389,cpus,10.142.0.3,763.0220165252686,0,8,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.2341),-88.80211471041352,-49.16201602650661,8,99.0752956867218,False,,,9,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-04-27,1597701867,862.0973122119904,64389,cpus,10.142.0.3,862.0973122119904,0,9,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1982),-85.16423964494109,-53.42022800875367,9,92.07352614402771,False,,,10,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-05-59,1597701959,954.1708383560181,64389,cpus,10.142.0.3,954.1708383560181,0,10,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.2391),-73.99812905130287,-57.12013446131881,10,91.54985785484314,False,,,11,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-07-31,1597702051,1045.7206962108612,64389,cpus,10.142.0.3,1045.7206962108612,0,11,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1443),-81.92016584887301,-61.21614275376246,11,100.69239735603333,False,,,12,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-09-11,1597702151,1146.4130935668945,64389,cpus,10.142.0.3,1146.4130935668945,0,12,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1171),-132.05018782027398,-67.81865214477617,12,110.2358169555664,False,,,13,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-11-02,1597702262,1256.648910522461,64389,cpus,10.142.0.3,1256.648910522461,0,13,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1113),-103.54769207661047,-72.99603674860668,13,105.11848711967468,False,,,14,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-12-47,1597702367,1361.7673976421356,64389,cpus,10.142.0.3,1361.7673976421356,0,14,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1825),-135.44042112940775,-79.76805780507706,14,106.1255509853363,False,,,15,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-14-33,1597702473,1467.892948627472,64389,cpus,10.142.0.3,1467.892948627472,0,15,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0865),-136.5582316115728,-86.5959693856557,15,92.0006742477417,False,,,16,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-16-05,1597702565,1559.8936228752136,64389,cpus,10.142.0.3,1559.8936228752136,0,16,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1506),-235.72740328465065,-98.38233954988824,16,92.94643139839172,False,,,17,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-17-38,1597702658,1652.8400542736053,64389,cpus,10.142.0.3,1652.8400542736053,0,17,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0370),-160.49492993070876,-106.40708604642369,17,92.98505210876465,False,,,18,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-19-11,1597702751,1745.82510638237,64389,cpus,10.142.0.3,1745.82510638237,0,18,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1426),-201.96645759620418,-116.5054089262339,18,93.35439395904541,False,,,19,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-20-44,1597702844,1839.1795003414154,64389,cpus,10.142.0.3,1839.1795003414154,0,19,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1063),-181.15369211159515,-125.56309353181366,19,94.23252034187317,False,,,20,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-22-18,1597702938,1933.4120206832886,64389,cpus,10.142.0.3,1933.4120206832886,0,20,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0553),-179.85208965806652,-124.69702604049704,20,93.94264531135559,False,,,21,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-23-52,1597703032,2027.3546659946442,64389,cpus,10.142.0.3,2027.3546659946442,0,21,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1430),-211.70926038467843,-126.4855792270329,21,94.23776292800903,False,,,22,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-25-27,1597703127,2121.592428922653,64389,cpus,10.142.0.3,2121.592428922653,0,22,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.2109),-183.9809639881126,-130.6761144234652,22,94.10618901252747,False,,,23,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-27-01,1597703221,2215.6986179351807,64389,cpus,10.142.0.3,2215.6986179351807,0,23,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0689),-143.9606616814798,-133.61278755027746,23,93.95345163345337,False,,,24,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-28-35,1597703315,2309.652069568634,64389,cpus,10.142.0.3,2309.652069568634,0,24,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1266),-170.24155459597367,-138.2040346746657,24,94.51922702789307,False,,,25,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-30-09,1597703409,2404.171296596527,64389,cpus,10.142.0.3,2404.171296596527,0,25,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0313),-185.3384273799748,-142.5961482987297,25,95.09457993507385,False,,,26,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-31-44,1597703504,2499.265876531601,64389,cpus,10.142.0.3,2499.265876531601,0,26,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1429),-166.99241131978954,-146.37124775741182,26,94.67474317550659,False,,,27,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-33-19,1597703599,2593.9406197071075,64389,cpus,10.142.0.3,2593.9406197071075,0,27,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1042),-207.77900568336776,-153.3339019753999,27,94.74750423431396,False,,,28,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-34-54,1597703694,2688.6881239414215,64389,cpus,10.142.0.3,2688.6881239414215,0,28,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1570),-223.47690372630433,-160.06764142619443,28,95.39731335639954,False,,,29,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-36-29,1597703789,2784.085437297821,64389,cpus,10.142.0.3,2784.085437297821,0,29,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1025),-207.33021880947143,-166.17594038442093,29,95.28863048553467,False,,,30,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-38-04,1597703884,2879.3740677833557,64389,cpus,10.142.0.3,2879.3740677833557,0,30,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0945),-150.76979057817198,-170.01452346076437,30,95.63792943954468,False,,,31,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-39-40,1597703980,2975.0119972229004,64389,cpus,10.142.0.3,2975.0119972229004,0,31,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1492),-191.6280156998584,-175.49991595331363,31,95.8503098487854,False,,,32,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-41-16,1597704076,3070.862307071686,64389,cpus,10.142.0.3,3070.862307071686,0,32,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0748),-213.33212799965335,-179.56401296228262,32,95.67942667007446,False,,,33,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-42-52,1597704172,3166.5417337417603,64389,cpus,10.142.0.3,3166.5417337417603,0,33,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1333),-213.26612454371042,-185.0499345856376,33,95.9898955821991,False,,,34,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-44-28,1597704268,3262.5316293239594,64389,cpus,10.142.0.3,3262.5316293239594,0,34,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1632),-213.41190929665055,-188.94850899399972,34,96.28493595123291,False,,,35,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-46-04,1597704364,3358.8165652751923,64389,cpus,10.142.0.3,3358.8165652751923,0,35,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1286),-257.920179354717,-195.01660638115695,35,96.40466451644897,False,,,36,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-47-40,1597704460,3455.2212297916412,64389,cpus,10.142.0.3,3455.2212297916412,0,36,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0527),-217.36053385937825,-194.09826290989332,36,96.35483407974243,False,,,37,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-49-17,1597704557,3551.5760638713837,64389,cpus,10.142.0.3,3551.5760638713837,0,37,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0510),-242.23872707065465,-198.18545276689065,37,95.76236295700073,False,,,38,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-50-52,1597704652,3647.3384268283844,64389,cpus,10.142.0.3,3647.3384268283844,0,38,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0698),-221.36248616709182,-199.15525419543502,38,96.48703169822693,False,,,39,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-52-29,1597704749,3743.8254585266113,64389,cpus,10.142.0.3,3743.8254585266113,0,39,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0824),-210.89811754384095,-200.64247546704732,39,95.90251040458679,False,,,40,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-54-05,1597704845,3839.727968931198,64389,cpus,10.142.0.3,3839.727968931198,0,40,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0330),-235.6471461137749,-203.43222828983272,40,97.2046115398407,False,,,41,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-55-42,1597704942,3936.932580471039,64389,cpus,10.142.0.3,3936.932580471039,0,41,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0672),-255.84211673435266,-205.63887110731645,41,96.84493327140808,False,,,42,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-57-19,1597705039,4033.777513742447,64389,cpus,10.142.0.3,4033.777513742447,0,42,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0426),-215.8479425374216,-207.2322200347819,42,97.11923384666443,False,,,43,76ff994af1624baf93e80dc45d0d2673,2020-08-17_22-58-56,1597705136,4130.896747589111,64389,cpus,10.142.0.3,4130.896747589111,0,43,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.9730),-300.1846807000843,-215.04342098571215,43,96.87594556808472,False,,,44,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-00-33,1597705233,4227.772693157196,64389,cpus,10.142.0.3,4227.772693157196,0,44,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0413),-248.23571498226866,-218.94312900502686,44,97.19991993904114,False,,,45,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-02-10,1597705330,4324.972613096237,64389,cpus,10.142.0.3,4324.972613096237,0,45,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0102),-195.41586495050586,-219.44700088355344,45,97.72767853736877,False,,,46,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-03-48,1597705428,4422.700291633606,64389,cpus,10.142.0.3,4422.700291633606,0,46,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.9515),-234.29100419585697,-222.8119305273568,46,96.91016983985901,False,,,47,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-05-25,1597705525,4519.610461473465,64389,cpus,10.142.0.3,4519.610461473465,0,47,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.9513),-277.8042077748415,-226.31319063193047,47,98.13454699516296,False,,,48,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-07-03,1597705623,4617.745008468628,64389,cpus,10.142.0.3,4617.745008468628,0,48,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0620),-277.80953640559267,-229.0298222658949,48,97.8587818145752,False,,,49,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-08-41,1597705721,4715.603790283203,64389,cpus,10.142.0.3,4715.603790283203,0,49,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.9900),-226.8668264710306,-230.00665264897285,49,97.70425772666931,False,,,50,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-10-18,1597705818,4813.308048009872,64389,cpus,10.142.0.3,4813.308048009872,0,50,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.9278),-223.3387365554535,-233.63509994783695,50,98.76565456390381,False,,,51,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-11-57,1597705917,4912.073702573776,64389,cpus,10.142.0.3,4912.073702573776,0,51,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.9400),-275.47303612533875,-237.8273509691109,51,98.38445854187012,False,,,52,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-13-36,1597706016,5010.458161115646,64389,cpus,10.142.0.3,5010.458161115646,0,52,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.9309),-259.89657531134594,-240.15557333469556,52,98.32120418548584,False,,,53,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-15-14,1597706114,5108.779365301132,64389,cpus,10.142.0.3,5108.779365301132,0,53,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.9929),-247.6462056751543,-241.87457739126776,53,99.30374145507812,False,,,54,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-16-53,1597706213,5208.08310675621,64389,cpus,10.142.0.3,5208.08310675621,0,54,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0394),-181.28284779031083,-240.2681243159508,54,98.81536412239075,False,,,55,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-18-32,1597706312,5306.898470878601,64389,cpus,10.142.0.3,5306.898470878601,0,55,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.8675),-165.49556956660032,-235.64689382654493,55,99.43273782730103,False,,,56,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-20-11,1597706411,5406.331208705902,64389,cpus,10.142.0.3,5406.331208705902,0,56,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0051),-168.35274864265767,-233.19650456570895,56,99.96671628952026,False,,,57,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-21-51,1597706511,5506.297924995422,64389,cpus,10.142.0.3,5506.297924995422,0,57,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.9600),-223.91235295034275,-232.2801858596933,57,98.86939597129822,False,,,58,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-23-30,1597706610,5605.167320966721,64389,cpus,10.142.0.3,5605.167320966721,0,58,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.9236),-157.23792869534037,-229.07395798610577,58,99.82511258125305,False,,,59,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-25-10,1597706710,5704.992433547974,64389,cpus,10.142.0.3,5704.992433547974,0,59,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.9049),-224.140247544746,-229.736064486151,59,99.44016027450562,False,,,60,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-26-49,1597706809,5804.432593822479,64389,cpus,10.142.0.3,5804.432593822479,0,60,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.8708),-190.60789937445776,-227.48410214918513,60,100.08845233917236,False,,,61,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-28-30,1597706910,5904.521046161652,64389,cpus,10.142.0.3,5904.521046161652,0,61,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.8524),-262.3590952613964,-227.80995107553736,61,99.37482595443726,False,,,62,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-30-09,1597707009,6003.895872116089,64389,cpus,10.142.0.3,6003.895872116089,0,62,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.8783),-146.24450558250095,-224.32977922779133,62,99.49498295783997,False,,,63,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-31-48,1597707108,6103.390855073929,64389,cpus,10.142.0.3,6103.390855073929,0,63,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.8778),-153.52595590550447,-216.99684298806233,63,99.74918842315674,False,,,64,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-33-28,1597707208,6203.140043497086,64389,cpus,10.142.0.3,6203.140043497086,0,64,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.8727),-275.9363939979586,-218.3818769388468,64,99.13668727874756,False,,,65,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-35-07,1597707307,6302.276730775833,64389,cpus,10.142.0.3,6302.276730775833,0,65,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.9424),-173.81692774471372,-217.30193007855723,65,99.49141502380371,False,,,66,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-36-47,1597707407,6401.768145799637,64389,cpus,10.142.0.3,6401.768145799637,0,66,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.8718),-285.3409066433241,-219.85442520093056,66,99.68171310424805,False,,,67,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-38-27,1597707507,6501.449858903885,64389,cpus,10.142.0.3,6501.449858903885,0,67,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.8240),-149.6184365482746,-213.4451366396022,67,99.44988512992859,False,,,68,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-40-06,1597707606,6600.8997440338135,64389,cpus,10.142.0.3,6600.8997440338135,0,68,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.9719),-129.0729554669503,-206.0083075926701,68,98.92383360862732,False,,,69,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-41-45,1597707705,6699.823577642441,64389,cpus,10.142.0.3,6699.823577642441,0,69,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.8781),-312.6464762925783,-210.29729008374744,69,99.2863245010376,False,,,70,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-43-24,1597707804,6799.109902143478,64389,cpus,10.142.0.3,6799.109902143478,0,70,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.8781),-194.8251239688657,-208.87160945441806,70,99.8975441455841,False,,,71,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-45-04,1597707904,6899.0074462890625,64389,cpus,10.142.0.3,6899.0074462890625,0,71,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.8725),-377.24462487206455,-213.96018889175434,71,99.52472043037415,False,,,72,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-46-44,1597708004,6998.532166719437,64389,cpus,10.142.0.3,6998.532166719437,0,72,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.9174),-232.846683195353,-212.60769428595472,72,99.28102612495422,False,,,73,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-48-23,1597708103,7097.813192844391,64389,cpus,10.142.0.3,7097.813192844391,0,73,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(0.9529),-357.5835429855303,-218.1045611514735,73,98.81905913352966,False,,,74,76ff994af1624baf93e80dc45d0d2673,2020-08-17_23-50-02,1597708202,7196.6322519779205,64389,cpus,10.142.0.3,7196.6322519779205,0,74,9af74_00033,"33_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
